,Year,County Code,County,Harvested Acres,Yield,Production,Price P/U,Value
1075,2000,1,Alameda,2602 ,2.11 ,5483 ,1185 ,6498000
1076,2000,9,Calaveras,470 ,3.60 ,1690 ,1000 ,1690000
1077,2000,17,El Dorado,1165 ,2.92 ,3400 ,1194 ,4059600
1078,2000,19,Fresno,75139 ,11.12 ,835310 ,177 ,147550000
1079,2000,29,Kern,46809 ,8.86 ,414680 ,187 ,77714000
1080,2000,31,Kings,3020 ,9.04 ,27311 ,162 ,4436000
1081,2000,33,Lake,3858 ,5.06 ,19520 ,1281 ,25005100
1082,2000,39,Madera,56410 ,9.92 ,559563 ,186 ,103830000
1083,2000,41,Marin,94 ,1.24 ,117 ,2009 ,235100
1084,2000,43,Mariposa,71 ,1.70 ,121 ,1314 ,159000
1085,2000,45,Mendocino,12838 ,4.53 ,58106 ,1514 ,87960000
1086,2000,47,Merced,14437 ,9.32 ,134583 ,288 ,38729000
1087,2000,55,Napa,32365 ,4.23 ,136962 ,2464 ,337469000
1088,2000,57,Nevada,303 ,3.57 ,1082 ,1096 ,1185800
1089,2000,65,Riverside,2767 ,4.53 ,12532 ,974 ,12202100
1090,2000,67,Sacramento,25024 ,7.10 ,177670 ,536 ,95231000
1091,2000,69,San Benito,2563 ,4.33 ,11100 ,1628 ,18071000
1092,2000,71,San Bernardino,235 ,0.83 ,194 ,901 ,174700
1093,2000,73,San Diego,175 ,1.84 ,322 ,300 ,96600
1094,2000,77,San Joaquin,80711 ,7.74 ,624800 ,473 ,295793000
1095,2000,79,San Luis Obispo,18801 ,5.39 ,101430 ,1328 ,134733000
1096,2000,81,San Mateo,45 ,  ,  ,  ,139000
1097,2000,85,Santa Clara,1749 ,3.90 ,6821 ,1521 ,10375000
1098,2000,87,Santa Cruz,477 ,1.61 ,768 ,2271 ,1744000
1099,2000,95,Solano,3853 ,4.67 ,17999 ,1007 ,18116800
1100,2000,97,Sonoma,42220 ,4.52 ,190789 ,2043 ,389781900
1101,2000,105,Trinity,  ,  ,140 ,1204 ,168600
1102,2000,107,Tulare,27688 ,10.42 ,288490 ,207 ,59835000
1103,2000,113,Yolo,9496 ,6.86 ,65143 ,627 ,40873000
1104,2000,115,Yuba,390 ,1.62 ,632 ,1242 ,785000
