,year,county,annual_precip,annual_tavg,annual_tmin,annual_tmax,annual_var,season_precip,season_tavg,season_tmin,season_tmax,season_var
0,2000,Fresno,20.720000000000006,55.708333333333336,31.4,87.1,59.40000000000001,3.4400000000000004,65.41666666666667,41.1,87.1,17.700000000000003
1,2000,Madera,25.889999999999997,56.51666666666668,31.8,88.9,60.9,4.01,66.16666666666667,41.0,88.9,18.199999999999996
2,2000,Monterey,22.95,58.63333333333333,35.9,86.2,41.40000000000002,2.5099999999999993,65.2,43.0,86.2,9.300000000000011
3,2000,Napa,31.240000000000002,59.26666666666667,38.1,88.6,49.0,4.21,67.18333333333332,45.2,88.6,12.199999999999996
4,2000,Sacramento,23.98,61.741666666666674,38.8,91.8,56.49999999999999,3.45,70.71666666666665,48.3,91.8,14.799999999999997
5,2000,San Joaquin,17.569999999999997,61.63333333333333,38.1,91.6,55.10000000000001,2.2199999999999998,70.39999999999999,47.8,91.6,13.799999999999997
6,2000,San Luis Obispo,17.950000000000003,59.375,36.4,88.1,45.70000000000002,2.9199999999999995,66.55000000000001,44.1,88.1,12.300000000000011
7,2000,Santa Barbara,20.589999999999996,58.50833333333335,38.3,82.8,38.60000000000001,4.27,64.25,44.5,82.8,10.400000000000006
8,2000,Sonoma,39.18,56.99166666666667,38.8,79.9,34.60000000000001,5.71,62.583333333333336,44.5,79.9,7.300000000000011
9,2000,Yolo,22.229999999999997,61.61666666666665,38.2,93.3,57.00000000000003,3.1300000000000003,70.78333333333332,47.8,93.3,15.000000000000028
10,2001,Fresno,23.210000000000004,56.36666666666665,28.4,88.6,69.6,3.7199999999999993,66.28333333333332,35.7,88.6,10.799999999999997
11,2001,Madera,27.11,56.949999999999996,29.0,89.8,69.69999999999999,3.77,66.78333333333335,36.3,89.8,10.899999999999977
12,2001,Monterey,25.650000000000006,58.75833333333333,34.2,86.1,47.800000000000004,1.9800000000000002,65.08333333333333,39.1,86.1,6.0
13,2001,Napa,37.82,60.07500000000001,35.0,89.2,55.69999999999999,1.5699999999999998,67.75,40.7,89.2,6.900000000000006
14,2001,Sacramento,22.089999999999996,62.73333333333333,36.0,93.4,59.69999999999999,2.2600000000000002,71.45,44.1,93.4,6.599999999999994
15,2001,San Joaquin,16.970000000000002,62.45000000000001,35.5,92.7,59.3,1.77,71.10000000000001,43.6,92.7,6.900000000000006
16,2001,San Luis Obispo,22.700000000000006,59.39166666666667,34.0,87.8,52.400000000000006,1.62,66.63333333333334,40.2,87.8,7.0
17,2001,Santa Barbara,26.94,58.06666666666666,36.8,81.8,44.2,1.74,63.73333333333333,40.8,81.8,7.299999999999997
18,2001,Sonoma,48.8,57.574999999999996,35.7,81.4,44.300000000000004,2.06,63.03333333333334,39.8,81.4,5.400000000000006
19,2001,Yolo,25.4,62.78333333333333,35.6,94.6,60.9,1.5,71.65,43.5,94.6,7.299999999999997
20,2002,Fresno,15.549999999999997,55.88333333333333,29.0,90.2,69.79999999999998,1.82,65.61666666666666,39.8,90.2,23.0
21,2002,Madera,18.619999999999997,56.45833333333334,29.7,91.2,69.39999999999999,2.52,66.06666666666666,40.0,91.2,23.19999999999999
22,2002,Monterey,16.86,58.37500000000001,33.9,86.9,46.10000000000001,1.02,64.64999999999999,42.3,86.9,12.70000000000001
23,2002,Napa,31.669999999999995,59.458333333333336,35.8,89.4,53.0,1.5499999999999998,67.05,44.2,89.4,14.399999999999999
24,2002,Sacramento,16.71,61.96666666666667,36.6,94.9,60.40000000000001,1.71,70.81666666666666,47.2,94.9,15.40000000000002
