year,county code,county,harvested acres,yield,production,price p/u,value,annual_precip,annual_tavg,annual_tmin,annual_tmax,annual_var,season_precip,season_tavg,season_tmin,season_tmax,season_var
2000,19,Fresno,75139 ,11.12 ,835310 ,177 ,147550000,20.72000000000001,55.708333333333336,31.4,87.1,59.40000000000001,3.4400000000000004,65.41666666666667,41.1,87.1,17.700000000000003
2000,39,Madera,56410 ,9.92 ,559563 ,186 ,103830000,25.89,56.51666666666668,31.8,88.9,60.9,4.01,66.16666666666667,41.0,88.9,18.2
2000,55,Napa,32365 ,4.23 ,136962 ,2464 ,337469000,31.24,59.26666666666667,38.1,88.6,49.0,4.21,67.18333333333332,45.2,88.6,12.199999999999996
2000,67,Sacramento,25024 ,7.10 ,177670 ,536 ,95231000,23.98,61.741666666666674,38.8,91.8,56.49999999999999,3.45,70.71666666666665,48.3,91.8,14.799999999999995
2000,77,San Joaquin,80711 ,7.74 ,624800 ,473 ,295793000,17.569999999999997,61.63333333333333,38.1,91.6,55.10000000000001,2.22,70.39999999999999,47.8,91.6,13.799999999999995
2000,79,San Luis Obispo,18801 ,5.39 ,101430 ,1328 ,134733000,17.950000000000003,59.375,36.4,88.1,45.70000000000002,2.9199999999999995,66.55000000000001,44.1,88.1,12.300000000000011
2000,97,Sonoma,42220 ,4.52 ,190789 ,2043 ,389781900,39.18,56.99166666666667,38.8,79.9,34.60000000000001,5.71,62.583333333333336,44.5,79.9,7.300000000000011
2000,113,Yolo,9496 ,6.86 ,65143 ,627 ,40873000,22.23,61.61666666666665,38.2,93.3,57.00000000000003,3.1300000000000003,70.78333333333332,47.8,93.3,15.000000000000028
2001,19,Fresno,76393,8.37,639180,167,106924000,23.210000000000004,56.36666666666665,28.4,88.6,69.6,3.7199999999999993,66.28333333333332,35.7,88.6,10.799999999999995
2001,39,Madera,55970,8.45,473146,162,76642000,27.11,56.95,29.0,89.8,69.69999999999999,3.77,66.78333333333335,36.3,89.8,10.899999999999975
2001,55,Napa,35095,3.6,126438,2802,354338000,37.82,60.07500000000001,35.0,89.2,55.69999999999999,1.5699999999999998,67.75,40.7,89.2,6.900000000000006
2001,67,Sacramento,25802,6,154812,616,95364000,22.09,62.73333333333333,36.0,93.4,59.69999999999999,2.26,71.45,44.1,93.4,6.599999999999994
2001,77,San Joaquin,83908,6.91,579400,418,242188000,16.970000000000002,62.45000000000001,35.5,92.7,59.3,1.77,71.10000000000001,43.6,92.7,6.900000000000006
2001,79,San Luis Obispo,21614,4.82,104107,1326,138054000,22.700000000000006,59.39166666666667,34.0,87.8,52.400000000000006,1.62,66.63333333333334,40.2,87.8,7.0
2001,83,Santa Barbara,16634,5.52,91820,1289,118328400,26.94,58.06666666666666,36.8,81.8,44.2,1.74,63.73333333333333,40.8,81.8,7.299999999999997
2001,97,Sonoma,43589,3.98,173583,2157,374389700,48.8,57.575,35.7,81.4,44.3,2.06,63.03333333333334,39.8,81.4,5.400000000000006
2001,113,Yolo,10242,5.43,55614,598,33241000,25.4,62.78333333333333,35.6,94.6,60.9,1.5,71.65,43.5,94.6,7.299999999999997
2002,19,Fresno,85701,10.83,928100,141,131189000,15.549999999999995,55.88333333333333,29.0,90.2,69.79999999999998,1.82,65.61666666666666,39.8,90.2,23.0
2002,39,Madera,67600,10.23,691528,130,89589000,18.62,56.45833333333334,29.7,91.2,69.39999999999999,2.52,66.06666666666666,40.0,91.2,23.19999999999999
2002,53,Monterey,37325,3.86,143947,1022,147065000,16.86,58.37500000000001,33.9,86.9,46.10000000000001,1.02,64.64999999999999,42.3,86.9,12.70000000000001
2002,55,Napa,37072,3.51,130099,2920,379930000,31.669999999999995,59.458333333333336,35.8,89.4,53.0,1.5499999999999998,67.05,44.2,89.4,14.4
2002,67,Sacramento,26597,6.20,164901,448,73876000,16.71,61.96666666666667,36.6,94.9,60.40000000000001,1.71,70.81666666666666,47.2,94.9,15.40000000000002
2002,77,San Joaquin,83263,6.12,509355,416,211940000,13.07,61.65833333333333,36.6,93.6,59.3,0.73,70.41666666666667,46.9,93.6,14.600000000000009
2002,79,San Luis Obispo,25206,3.77,95101,1240,117896000,12.02,59.00000000000001,34.0,88.7,51.99999999999999,0.78,66.1,42.5,88.7,15.099999999999994
2002,83,Santa Barbara,16667,2.93,48834,1482,72373900,11.939999999999998,57.875,36.6,82.5,42.9,0.53,63.21666666666667,43.0,82.5,12.599999999999994
2002,97,Sonoma,46587,3.93,183139,2055,376422300,39.61,57.09166666666667,38.1,80.6,38.4,1.68,62.366666666666674,43.8,80.6,10.699999999999989
