,Alameda County Precip,Kings County Precip,Placer County Precip,Sierra County Precip,Alpine County Precip,Lake County Precip,Plumas County Precip,Siskiyou County Precip,Amador County Precip,Lassen County Precip,Riverside County Precip,Solano County Precip,Butte County Precip,Los Angeles County Precip,Sacramento County Precip,Sonoma County Precip,Calaveras County Precip,Madera County Precip,San Benito County Precip,Stanislaus County Precip,Colusa County Precip,Marin County Precip,San Bernardino County Precip,Sutter County Precip,Contra Costa County Precip,Mariposa County Precip,San Diego County Precip,Tehama County Precip,Del Norte County Precip,Mendocino County Precip,San Francisco County Precip,Trinity County Precip,El Dorado County Precip,Merced County Precip,San Joaquin County Precip,Tulare County Precip,Fresno County Precip,Modoc County Precip,San Luis Obispo County Precip,Tuolumne County Precip,Glenn County Precip,Mono County Precip,San Mateo County Precip,Ventura County Precip,Humboldt County Precip,Monterey County Precip,Santa Barbara County Precip,Yolo County Precip,Imperial County Precip,Napa County Precip,Santa Clara County Precip,Yuba County Precip,year
3,5.94,1.39,13.47,12.84,10.06,9.42,11.8,10.72,11.28,5.05,0.2,5.57,9.81,1.01,6.23,8.33,11.57,6.98,4.66,4.3,5.36,8.33,0.15,5.03,6.09,10.33,0.56,8.25,21.32,11.62,7.22,14.47,13.36,3.45,4.57,4.27,5.2,4.24,3.35,12.63,5.77,2.96,8.91,2.05,15.67,6.39,1.87,5.29,0.0,6.94,7.5,9.21,200001.0
4,7.24,2.75,16.02,14.43,9.57,14.08,13.26,8.2,12.87,4.04,1.81,8.29,16.67,5.79,8.62,15.29,12.91,9.17,6.23,5.87,7.31,13.28,1.68,7.88,7.31,12.19,3.87,11.37,13.79,15.23,10.14,16.34,14.59,4.36,6.26,8.49,7.24,2.57,8.29,13.68,8.05,3.17,12.07,9.0,13.7,8.62,9.83,8.25,0.22,11.3,8.64,16.13,200002.0
5,1.92,0.95,2.67,2.52,1.67,3.53,2.66,2.69,2.04,1.58,0.86,2.12,4.81,2.12,1.83,3.28,2.33,1.81,1.4,1.06,2.32,2.9,0.63,2.04,1.99,2.42,1.34,3.38,4.85,3.1,2.45,4.22,2.3,0.88,1.02,3.1,1.67,1.88,1.61,2.69,2.59,0.91,2.61,2.78,3.76,2.04,2.28,2.12,0.21,3.13,2.38,3.78,200003.0
6,1.09,0.97,2.55,2.58,1.78,3.52,2.91,4.25,2.42,1.59,0.37,1.34,3.05,2.03,1.65,3.1,2.5,2.02,1.15,1.48,1.87,2.4,0.28,1.52,1.25,3.04,0.78,3.36,4.34,3.25,1.89,4.98,2.53,1.41,1.21,1.7,1.79,1.51,2.56,3.35,2.53,1.12,2.21,3.4,3.8,1.68,4.1,1.59,0.0,2.21,1.24,2.55,200004.0
7,1.0,0.17,3.4,2.48,2.35,2.97,1.84,1.43,3.5,1.49,0.02,1.0,1.76,0.05,1.48,1.86,3.11,0.78,0.27,0.83,1.81,1.7,0.01,1.2,0.98,1.7,0.06,1.75,4.91,2.25,1.43,2.69,4.12,0.43,0.81,1.02,0.7,1.22,0.13,2.73,2.09,0.48,1.4,0.02,2.64,0.35,0.02,1.15,0.02,1.5,0.81,1.94,200005.0
8,0.25,0.24,0.6,0.5,0.76,0.8,0.36,0.45,0.65,0.4,0.02,0.2,0.58,0.01,0.14,0.37,0.56,0.62,0.25,0.23,0.68,0.22,0.07,0.19,0.17,0.79,0.03,0.57,1.47,0.59,0.21,0.46,0.77,0.19,0.09,0.42,0.53,0.26,0.13,1.12,0.57,0.57,0.31,0.04,0.73,0.23,0.11,0.23,0.03,0.26,0.33,0.39,200006.0
9,0.0,0.0,0.01,0.01,0.04,0.0,0.01,0.49,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.19,0.22,0.02,0.02,0.18,0.01,0.0,0.0,0.01,0.0,0.36,0.0,0.01,0.01,0.02,0.01,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.01,0.0,200007.0
10,0.02,0.0,0.06,0.04,0.78,0.03,0.02,0.11,0.09,0.06,0.79,0.0,0.0,0.15,0.0,0.01,0.07,0.11,0.06,0.03,0.0,0.02,0.8,0.0,0.01,0.06,0.41,0.11,0.08,0.09,0.02,0.04,0.14,0.01,0.01,0.24,0.19,0.05,0.01,0.28,0.0,1.01,0.04,0.05,0.02,0.07,0.0,0.0,0.28,0.0,0.06,0.0,200008.0
11,0.22,0.01,1.08,0.94,0.95,0.43,0.62,0.83,1.03,0.61,0.09,0.12,0.59,0.11,0.18,0.37,0.91,0.48,0.04,0.1,0.29,0.24,0.03,0.24,0.16,0.56,0.19,0.86,1.0,0.42,0.28,0.6,1.41,0.08,0.1,0.17,0.23,0.96,0.09,0.95,0.48,0.16,0.32,0.05,0.54,0.17,0.04,0.16,0.01,0.24,0.21,0.78,200009.0
12,2.64,1.08,4.54,3.92,2.74,3.61,3.55,2.97,4.53,2.01,0.49,2.43,5.56,1.15,2.51,3.63,4.65,3.08,2.65,2.44,2.66,3.3,0.58,2.18,2.37,3.92,0.87,4.17,6.81,4.85,2.96,4.34,4.85,2.68,2.57,2.51,2.67,1.9,1.64,4.13,2.91,1.09,3.51,1.53,4.9,2.83,2.22,2.06,0.44,3.35,3.38,4.06,200010.0
