,Alameda County, California, Precipitation,Kings County, California, Precipitation,Placer County, California, Precipitation,Sierra County, California, Precipitation,Alpine County, California, Precipitation,Lake County, California, Precipitation,Plumas County, California, Precipitation,Siskiyou County, California, Precipitation,Amador County, California, Precipitation,Lassen County, California, Precipitation,Riverside County, California, Precipitation,Solano County, California, Precipitation,Butte County, California, Precipitation,Los Angeles County, California, Precipitation,Sacramento County, California, Precipitation,Sonoma County, California, Precipitation,Calaveras County, California, Precipitation,Madera County, California, Precipitation,San Benito County, California, Precipitation,Stanislaus County, California, Precipitation,Colusa County, California, Precipitation,Marin County, California, Precipitation,San Bernardino County, California, Precipitation,Sutter County, California, Precipitation,Contra Costa County, California, Precipitation,Mariposa County, California, Precipitation,San Diego County, California, Precipitation,Tehama County, California, Precipitation,Del Norte County, California, Precipitation,Mendocino County, California, Precipitation,San Francisco County, California, Precipitation,Trinity County, California, Precipitation,El Dorado County, California, Precipitation,Merced County, California, Precipitation,San Joaquin County, California, Precipitation,Tulare County, California, Precipitation,Fresno County, California, Precipitation,Modoc County, California, Precipitation,San Luis Obispo County, California, Precipitation,Tuolumne County, California, Precipitation,Glenn County, California, Precipitation,Mono County, California, Precipitation,San Mateo County, California, Precipitation,Ventura County, California, Precipitation,Humboldt County, California, Precipitation,Monterey County, California, Precipitation,Santa Barbara County, California, Precipitation,Yolo County, California, Precipitation,Imperial County, California, Precipitation,Napa County, California, Precipitation,Santa Clara County, California, Precipitation,Yuba County, California, Precipitation
0,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,,Units: Inches,,
1,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,
2,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,
3,200001,5.94,,200001,1.39,,200001,13.47,,200001,12.84,,200001,10.06,,200001,9.42,,200001,11.80,,200001,10.72,,200001,11.28,,200001,5.05,,200001,0.20,,200001,5.57,,200001,9.81,,200001,1.01,,200001,6.23,,200001,8.33,,200001,11.57,,200001,6.98,,200001,4.66,,200001,4.30,,200001,5.36,,200001,8.33,,200001,0.15,,200001,5.03,,200001,6.09,,200001,10.33,,200001,0.56,,200001,8.25,,200001,21.32,,200001,11.62,,200001,7.22,,200001,14.47,,200001,13.36,,200001,3.45,,200001,4.57,,200001,4.27,,200001,5.20,,200001,4.24,,200001,3.35,,200001,12.63,,200001,5.77,,200001,2.96,,200001,8.91,,200001,2.05,,200001,15.67,,200001,6.39,,200001,1.87,,200001,5.29,,200001,0.00,,200001,6.94,,200001,7.50,,200001,9.21,
4,200002,7.24,,200002,2.75,,200002,16.02,,200002,14.43,,200002,9.57,,200002,14.08,,200002,13.26,,200002,8.20,,200002,12.87,,200002,4.04,,200002,1.81,,200002,8.29,,200002,16.67,,200002,5.79,,200002,8.62,,200002,15.29,,200002,12.91,,200002,9.17,,200002,6.23,,200002,5.87,,200002,7.31,,200002,13.28,,200002,1.68,,200002,7.88,,200002,7.31,,200002,12.19,,200002,3.87,,200002,11.37,,200002,13.79,,200002,15.23,,200002,10.14,,200002,16.34,,200002,14.59,,200002,4.36,,200002,6.26,,200002,8.49,,200002,7.24,,200002,2.57,,200002,8.29,,200002,13.68,,200002,8.05,,200002,3.17,,200002,12.07,,200002,9.00,,200002,13.70,,200002,8.62,,200002,9.83,,200002,8.25,,200002,0.22,,200002,11.30,,200002,8.64,,200002,16.13,
5,200003,1.92,,200003,0.95,,200003,2.67,,200003,2.52,,200003,1.67,,200003,3.53,,200003,2.66,,200003,2.69,,200003,2.04,,200003,1.58,,200003,0.86,,200003,2.12,,200003,4.81,,200003,2.12,,200003,1.83,,200003,3.28,,200003,2.33,,200003,1.81,,200003,1.40,,200003,1.06,,200003,2.32,,200003,2.90,,200003,0.63,,200003,2.04,,200003,1.99,,200003,2.42,,200003,1.34,,200003,3.38,,200003,4.85,,200003,3.10,,200003,2.45,,200003,4.22,,200003,2.30,,200003,0.88,,200003,1.02,,200003,3.10,,200003,1.67,,200003,1.88,,200003,1.61,,200003,2.69,,200003,2.59,,200003,0.91,,200003,2.61,,200003,2.78,,200003,3.76,,200003,2.04,,200003,2.28,,200003,2.12,,200003,0.21,,200003,3.13,,200003,2.38,,200003,3.78,
6,200004,1.09,,200004,0.97,,200004,2.55,,200004,2.58,,200004,1.78,,200004,3.52,,200004,2.91,,200004,4.25,,200004,2.42,,200004,1.59,,200004,0.37,,200004,1.34,,200004,3.05,,200004,2.03,,200004,1.65,,200004,3.10,,200004,2.50,,200004,2.02,,200004,1.15,,200004,1.48,,200004,1.87,,200004,2.40,,200004,0.28,,200004,1.52,,200004,1.25,,200004,3.04,,200004,0.78,,200004,3.36,,200004,4.34,,200004,3.25,,200004,1.89,,200004,4.98,,200004,2.53,,200004,1.41,,200004,1.21,,200004,1.70,,200004,1.79,,200004,1.51,,200004,2.56,,200004,3.35,,200004,2.53,,200004,1.12,,200004,2.21,,200004,3.40,,200004,3.80,,200004,1.68,,200004,4.10,,200004,1.59,,200004,0.00,,200004,2.21,,200004,1.24,,200004,2.55,
7,200005,1.00,,200005,0.17,,200005,3.40,,200005,2.48,,200005,2.35,,200005,2.97,,200005,1.84,,200005,1.43,,200005,3.50,,200005,1.49,,200005,0.02,,200005,1.00,,200005,1.76,,200005,0.05,,200005,1.48,,200005,1.86,,200005,3.11,,200005,0.78,,200005,0.27,,200005,0.83,,200005,1.81,,200005,1.70,,200005,0.01,,200005,1.20,,200005,0.98,,200005,1.70,,200005,0.06,,200005,1.75,,200005,4.91,,200005,2.25,,200005,1.43,,200005,2.69,,200005,4.12,,200005,0.43,,200005,0.81,,200005,1.02,,200005,0.70,,200005,1.22,,200005,0.13,,200005,2.73,,200005,2.09,,200005,0.48,,200005,1.40,,200005,0.02,,200005,2.64,,200005,0.35,,200005,0.02,,200005,1.15,,200005,0.02,,200005,1.50,,200005,0.81,,200005,1.94,
8,200006,0.25,,200006,0.24,,200006,0.60,,200006,0.50,,200006,0.76,,200006,0.80,,200006,0.36,,200006,0.45,,200006,0.65,,200006,0.40,,200006,0.02,,200006,0.20,,200006,0.58,,200006,0.01,,200006,0.14,,200006,0.37,,200006,0.56,,200006,0.62,,200006,0.25,,200006,0.23,,200006,0.68,,200006,0.22,,200006,0.07,,200006,0.19,,200006,0.17,,200006,0.79,,200006,0.03,,200006,0.57,,200006,1.47,,200006,0.59,,200006,0.21,,200006,0.46,,200006,0.77,,200006,0.19,,200006,0.09,,200006,0.42,,200006,0.53,,200006,0.26,,200006,0.13,,200006,1.12,,200006,0.57,,200006,0.57,,200006,0.31,,200006,0.04,,200006,0.73,,200006,0.23,,200006,0.11,,200006,0.23,,200006,0.03,,200006,0.26,,200006,0.33,,200006,0.39,
9,200007,0.00,,200007,0.00,,200007,0.01,,200007,0.01,,200007,0.04,,200007,0.00,,200007,0.01,,200007,0.49,,200007,0.00,,200007,0.18,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.01,,200007,0.00,,200007,0.19,,200007,0.22,,200007,0.02,,200007,0.02,,200007,0.18,,200007,0.01,,200007,0.00,,200007,0.00,,200007,0.01,,200007,0.00,,200007,0.36,,200007,0.00,,200007,0.01,,200007,0.01,,200007,0.02,,200007,0.01,,200007,0.00,,200007,0.05,,200007,0.01,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.00,,200007,0.01,,200007,0.00,
