year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2006,4.20369527257394,73.273605,45.209522,58.07877732756694,65.65957876821562,48.228762207252615,0,0,1,0,0,0,0,0,0
2007,5.943792378486469,73.64714,46.158684,58.59355810364848,66.20123940529493,48.695874086122004,0,0,1,0,0,0,0,0,0
2008,10.81457517303966,73.45114,46.439552,58.64502433810023,66.25539300744262,48.83409788690025,0,0,1,0,0,0,0,0,0
2009,6.389669608451016,71.77402,45.485058,57.699103697502665,65.26008004973544,48.364361966467754,0,0,1,0,0,0,0,0,0
2010,4.734853331419229,74.877106,44.76452,58.422678326204206,66.02143694682127,48.009763005513996,0,0,1,0,0,0,0,0,0
2011,10.608845934546366,72.94653,45.648205,58.15226942290464,65.73690833651055,48.44465163430307,0,0,1,0,0,0,0,0,0
2012,7.346384381031989,73.12979,45.264122,58.053997825913726,65.63350537683115,48.255632550340806,0,0,1,0,0,0,0,0,0
2013,7.421445354454591,74.410416,45.480995,58.56491991752252,66.17110584385958,48.36236243892256,0,0,1,0,0,0,0,0,0
2014,9.403675973973646,73.26102,46.131603,58.45532648215065,66.05578986319088,48.68254669122876,0,0,1,0,0,0,0,0,0
2015,5.128337170343958,71.77408,43.953125,57.066649867901326,64.59460192743114,47.610450514121354,0,0,1,0,0,0,0,0,0
2016,7.936048023609146,72.20216,45.610577,57.89180289611483,65.46284125515464,48.426133735590206,0,0,1,0,0,0,0,0,0
2017,9.398528822654486,72.62195,46.94399,58.58044545789609,66.18744206789995,49.082347376400584,0,0,1,0,0,0,0,0,0
2018,9.479846527177468,71.2358,46.362976,57.884462006520074,65.45511705269921,48.79641247678448,0,0,1,0,0,0,0,0,0
2019,5.465524685208275,72.888306,44.73046,57.75421106098646,65.31806490658965,47.99300102958756,0,0,1,0,0,0,0,0,0
2020,8.77224904729709,70.524826,45.815144,57.42434154785225,64.97097088338742,48.52680746222978,0,0,1,0,0,0,0,0,0
2021,7.3927237907387315,71.32314,44.87757,57.299936377801224,64.84006975654519,48.06539839536966,0,0,1,0,0,0,0,0,0
2022,4.241432865004577,73.047226,45.11438,57.96500807696217,65.53986892739428,48.18193989622522,0,0,1,0,0,0,0,0,0
2023,7.755268886363357,73.5793,45.543617,58.31729922484361,65.91055535638523,48.39318065549524,0,0,1,0,0,0,0,0,0
2024,12.709763575074524,73.18291,46.277172,58.489724345207996,66.09198384960902,48.75418568340832,0,0,1,0,0,0,0,0,0
2025,8.378502663263529,72.44084,45.999218,58.130793675087084,65.71431120820837,48.61739595185642,0,0,1,0,0,0,0,0,0
2026,10.418467863004803,72.58888,47.532692,58.812615328158415,66.43173495077363,49.37206577780536,0,0,1,0,0,0,0,0,0
2027,7.316530269787833,73.85467,46.361,58.745373017330245,66.36098150656167,48.79544002627272,0,0,1,0,0,0,0,0,0
2028,6.155205738385766,72.14723,44.5872,57.451217201565676,64.99924987978497,47.92249836748475,0,0,1,0,0,0,0,0,0
2029,7.1986320720921455,73.14407,45.276154,58.06366412183644,65.64367640933851,48.26155386843672,0,0,1,0,0,0,0,0,0
2030,9.125421718131602,74.00573,47.103676,59.10169967254565,66.73591416147056,49.16093377944784,0,0,1,0,0,0,0,0,0
2031,7.7142168104320765,73.62373,46.932507,58.90533557284206,66.52929668800046,49.07669623812802,0,0,1,0,0,0,0,0,0
2032,7.0599646951083095,72.801575,45.166893,57.905858281380326,65.47763055827365,48.20778316227998,0,0,1,0,0,0,0,0,0
2033,9.301669873272925,74.91562,46.985573,59.352334703093156,66.9996363838778,49.102811652529454,0,0,1,0,0,0,0,0,0
2034,7.251188613335341,74.332794,46.618736,59.00910630132751,66.63848592255087,48.922279856788776,0,0,1,0,0,0,0,0,0
2035,13.562384953940212,72.35437,47.019573,58.523604704182766,66.12763330988304,49.11954410060634,0,0,1,0,0,0,0,0,0
2036,13.194090793624744,72.9957,48.047344,59.15895665904095,66.79616088633537,49.625341891560325,0,0,1,0,0,0,0,0,0
2037,11.466920965356008,74.52197,46.759144,59.129322592554736,66.76497944351937,48.991378961776434,0,0,1,0,0,0,0,0,0
2038,13.122856722059996,71.504196,46.63379,58.08458466192122,65.66568933910762,48.92968839424023,0,0,1,0,0,0,0,0,0
2039,9.877826104594767,73.80017,46.239326,58.67720574445578,66.28925480236305,48.73556050017544,0,0,1,0,0,0,0,0,0
2040,4.196537651394233,75.13705,45.867218,58.963471363768804,66.59046810506499,48.552434682852024,0,0,1,0,0,0,0,0,0
2041,5.042532439232469,72.398155,45.16272,57.77139196907895,65.3361429352484,48.20572950034395,0,0,1,0,0,0,0,0,0
2042,9.304195533460154,74.35889,46.839397,59.108795126303164,66.74338011237866,49.03087393693863,0,0,1,0,0,0,0,0,0
2043,6.101028386991061,75.125786,47.198925,59.50957330104164,67.16508537322532,49.207808748473596,0,0,1,0,0,0,0,0,0
2044,12.892242325604036,72.56026,47.744728,58.89073919550844,66.51393814430004,49.47641522958277,0,0,1,0,0,0,0,0,0
2045,9.053697403965442,72.50829,47.082417,58.60019711633591,66.20822508154573,49.15047157022235,0,0,1,0,0,0,0,0,0
2046,9.70471344292514,72.267365,46.70119,58.3635285733576,65.95919862266734,48.96285801189855,0,0,1,0,0,0,0,0,0
2047,12.839317508416324,74.9355,47.57378,59.60172315551331,67.26204693666953,49.39228644917546,0,0,1,0,0,0,0,0,0
2048,8.721171945762187,74.745605,47.473804,59.497963028697235,67.15286885736666,49.343085177736185,0,0,1,0,0,0,0,0,0
2049,7.609547243061661,74.34993,47.399536,59.337105763506166,66.98361224796984,49.30653560556634,0,0,1,0,0,0,0,0,0
2050,12.29486706394784,74.836685,47.68809,59.61640255107127,67.27749283348484,49.44854192387163,0,0,1,0,0,0,0,0,0
2051,6.449800754282064,75.00796,47.25468,59.49382221034763,67.14851182149918,49.23524750266557,0,0,1,0,0,0,0,0,0
2052,4.473416218385473,75.26064,46.389122,59.21961125834965,66.85998263421303,48.809279729355616,0,0,1,0,0,0,0,0,0
2053,4.929407176976837,73.95421,45.881886,58.58031926828364,66.18730928915403,48.559653257804726,0,0,1,0,0,0,0,0,0
2054,9.2848947060024,76.23007,46.91674,59.75642989656424,67.42483186534534,49.068936811397776,0,0,1,0,0,0,0,0,0
2055,13.035263278645948,73.57831,48.047344,59.35066173170573,66.99787605639543,49.625341891560325,0,0,1,0,0,0,0,0,0
2056,6.987464229489192,73.148796,45.910725,58.327208054411614,65.92098158670674,48.573845818689705,0,0,1,0,0,0,0,0,0
2057,5.905190723570957,73.317276,45.070488,58.035745512868196,65.6142999985968,48.1603392900196,0,0,1,0,0,0,0,0,0
2058,6.354487375880554,75.074646,46.940746,59.38615419150992,67.03522179516871,49.08075090400172,0,0,1,0,0,0,0,0,0
2059,16.296866313614398,72.49753,48.58216,59.2158402040139,66.85601467000599,49.88854133128653,0,0,1,0,0,0,0,0,0
2060,15.44938654212892,75.36578,49.942543,60.72127180998582,68.44005409155749,50.55802774046849,0,0,1,0,0,0,0,0,0
2061,5.018970302700587,73.40988,45.8514,58.38862360480692,65.98560401959344,48.54465015744965,0,0,1,0,0,0,0,0,0
2062,6.511447771420218,75.51695,48.36985,60.12171184719701,67.80918742655993,49.784057035662855,0,0,1,0,0,0,0,0,0
2063,8.213576815440058,74.92485,47.870686,59.72079937896123,67.38734085992897,49.53840304413775,0,0,1,0,0,0,0,0,0
2064,6.032723099174313,75.80435,48.63478,60.325658412025994,68.02378329215593,49.91443725533965,0,0,1,0,0,0,0,0,0
2065,6.896656885466873,73.68081,46.750134,58.8488229949036,66.469833241828,48.98694486303606,0,0,1,0,0,0,0,0,0
2066,7.234312071181163,74.82004,47.758293,59.63990958979695,67.3022273188495,49.48309098423463,0,0,1,0,0,0,0,0,0
2067,4.803925266793594,73.77074,46.233776,58.665230569796485,66.27665433040202,48.732829174092295,0,0,1,0,0,0,0,0,0
2068,7.271653667972535,75.96377,47.91809,60.082222311563136,67.76763590011748,49.56173201380354,0,0,1,0,0,0,0,0,0
