year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2006,3.3261360683255643,76.36575,48.575844,60.48605212827137,68.19255214787407,49.88543303299083,0,0,0,0,1,0,0,0,0
2007,4.797506969472393,76.34401,49.738197,60.958787526337346,68.68997195992584,50.457462774741416,0,0,0,0,1,0,0,0,0
2008,7.786176346007958,76.20552,50.066025,61.04856505187864,68.7844373205989,50.61879703909881,0,0,0,0,1,0,0,0,0
2009,5.137553968847841,74.87859,49.157238,60.236743362621915,67.93022544278799,50.17155494232074,0,0,0,0,1,0,0,0,0
2010,3.167650297583453,77.61919,48.28855,60.77987850132519,68.50172099763279,49.74404679952605,0,0,0,0,1,0,0,0,0
2011,6.728864821206406,75.852036,48.940643,60.46762780648409,68.17316577926681,50.06496186610855,0,0,0,0,1,0,0,0,0
2012,5.1201939160181205,76.3027,48.693947,60.514065805668174,68.22202859114996,49.943555159909224,0,0,0,0,1,0,0,0,0
2013,5.111564379047267,77.12404,48.637585,60.761054254085884,68.48191382101326,49.915817682306,0,0,0,0,1,0,0,0,0
2014,7.792677802413404,76.182236,49.441727,60.78315600579255,68.50516964070631,50.311560748819176,0,0,0,0,1,0,0,0,0
2015,3.716621428269781,74.73445,47.279785,59.41418988044858,67.06472139934404,49.24760244704705,0,0,0,0,1,0,0,0,0
2016,5.121882441423945,75.819626,49.56395,60.7143018604717,68.43272019823891,50.371710454739826,0,0,0,0,1,0,0,0,0
2017,7.656726955514922,76.01106,50.83029,61.300113211221166,69.04912035185492,50.99491540467193,0,0,0,0,1,0,0,0,0
2018,8.420787077624201,74.474686,50.574474,60.68896044672006,68.40605555387965,50.86902046534139,0,0,0,0,1,0,0,0,0
2019,3.799191271004118,75.989914,49.036606,60.552615178353705,68.26259086297136,50.11218821654393,0,0,0,0,1,0,0,0,0
2020,7.411987394606396,73.837036,49.764343,60.14467418826498,67.83334877226204,50.47033002731254,0,0,0,0,1,0,0,0,0
2021,5.543045979537628,74.663376,48.712017,59.9821143520394,67.66230069015668,49.95244796393127,0,0,0,0,1,0,0,0,0
2022,3.2449644861934703,76.04622,48.753876,60.45441454708566,68.15926257457039,49.97304806816805,0,0,0,0,1,0,0,0,0
2023,6.191639317176304,76.30852,49.361473,60.7915755089298,68.51402877773145,50.27206528152615,0,0,0,0,1,0,0,0,0
2024,7.442713488248214,76.656845,50.3453,61.3123728388393,69.06202012980806,50.75623687547157,0,0,0,0,1,0,0,0,0
2025,6.796312382468506,75.40676,50.102722,60.80088755773619,68.52382706570828,50.63685676401286,0,0,0,0,1,0,0,0,0
2026,7.301024664536789,75.85434,51.41284,61.48905671859798,69.24792975836918,51.281606217236444,0,0,0,0,1,0,0,0,0
2027,5.405534909820445,76.980225,50.05839,61.30032589361783,69.0493441397037,50.6150396202439,0,0,0,0,1,0,0,0,0
2028,4.178863574022576,75.16039,47.902435,59.81141059126637,67.48268343926405,49.55402770572579,0,0,0,0,1,0,0,0,0
2029,4.577730973663106,76.56851,48.73575,60.61878811126979,68.33221909049293,49.96412770481977,0,0,0,0,1,0,0,0,0
2030,6.654076292783618,76.81933,50.992943,61.63322352978531,69.39962440281148,51.074961959879296,0,0,0,0,1,0,0,0,0
2031,6.660444694654271,76.48193,50.802773,61.44369010041737,69.20019427086149,50.981373440738636,0,0,0,0,1,0,0,0,0
2032,5.603655092105269,75.42769,48.37655,60.095107425933826,67.78119382532208,49.78735431219566,0,0,0,0,1,0,0,0,0
2033,6.755936667089089,77.71933,50.410286,61.688808624785565,69.45811193647413,50.78821848931642,0,0,0,0,1,0,0,0,0
2034,5.301133431497812,76.71633,50.1036,61.23215788066611,68.97761665678385,50.63728885487791,0,0,0,0,1,0,0,0,0
2035,9.145676103088704,75.76294,51.067924,61.316580024326065,69.0664469982479,51.11186242132793,0,0,0,0,1,0,0,0,0
2036,9.190074342171773,76.13373,52.072075,61.85316031937596,69.63104544085733,51.60603608217673,0,0,0,0,1,0,0,0,0
2037,7.673165526492074,77.352325,50.262077,61.506857820421835,69.2666603648771,50.715280271756775,0,0,0,0,1,0,0,0,0
2038,8.601347625277116,74.99038,50.624077,60.8791262105065,68.60615103830565,50.8934316306931,0,0,0,0,1,0,0,0,0
