year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2006,10.93358691047296,71.658775,44.67641,57.32732461151769,64.86888809789092,47.96640135845355,0,0,0,0,0,0,0,1,0
2007,15.417798761976062,71.698715,45.637,57.7370556881704,65.3000137465607,48.43913730840008,0,0,0,0,0,0,0,1,0
2008,26.21891245925456,71.718216,45.79476,57.80860516438651,65.37529925967739,48.51677586747686,0,0,0,0,0,0,0,1,0
2009,17.643989622985572,69.81362,44.762764,56.755837157614145,64.26755977961048,48.00889882378391,0,0,0,0,0,0,0,1,0
2010,10.816202715117036,72.76647,43.609966,57.251514556209194,64.78911953472121,47.44157139207376,0,0,0,0,0,0,0,1,0
2011,25.75467251550168,71.182465,45.12597,57.35620231014969,64.89927367824895,48.18764369249614,0,0,0,0,0,0,0,1,0
2012,18.17539676308796,71.18895,44.533203,57.113606495882536,64.6440104489012,47.89592477928451,0,0,0,0,0,0,0,1,0
2013,20.056830652588605,72.64447,44.589672,57.61585226782988,65.17248155241475,47.923714914886105,0,0,0,0,0,0,0,1,0
2014,24.207777326034307,71.74458,45.447212,57.67379151186124,65.23344615966525,48.34573678323487,0,0,0,0,0,0,0,1,0
2015,12.442576605358644,69.67311,42.892067,55.93726739071863,63.40624746564749,47.088271164369274,0,0,0,0,0,0,0,1,0
2016,21.06092828338578,70.01236,44.41576,56.677967610629146,64.18562418607486,47.83812745871115,0,0,0,0,0,0,0,1,0
2017,25.59381591886729,70.49603,46.28794,57.610064828140004,65.1663919150096,48.75948494814044,0,0,0,0,0,0,0,1,0
2018,24.72691493724972,68.85336,45.410133,56.70714077806172,64.21632066347138,48.32748906434537,0,0,0,0,0,0,0,1,0
2019,14.870486853018251,70.220825,43.151344,56.22453548201755,63.708515585544944,47.21586936848787,0,0,0,0,0,0,0,1,0
2020,21.35385892961025,68.01889,44.654987,56.12079292372553,63.599355992126505,47.95585843977264,0,0,0,0,0,0,0,1,0
2021,19.19969967538297,68.48488,43.59096,55.83483074688797,63.298461976492405,47.43221795359878,0,0,0,0,0,0,0,1,0
2022,10.84275343073845,70.73312,43.696594,56.61821554875173,64.12275210264221,47.48420370125038,0,0,0,0,0,0,0,1,0
2023,18.788567498803136,71.47189,44.1617,57.05332790920948,64.58058434758463,47.7130967011107,0,0,0,0,0,0,0,1,0
2024,34.43884738067865,71.00157,45.041157,57.26166378423438,64.79979871617749,48.145904600768326,0,0,0,0,0,0,0,1,0
2025,22.47119388942897,70.222916,44.887566,56.942039806416474,64.46348521051691,48.07031773510427,0,0,0,0,0,0,0,1,0
2026,26.95817612642437,70.52515,46.87664,57.862697198868354,65.43221577097637,49.04920236528356,0,0,0,0,0,0,0,1,0
2027,19.581312753029465,71.55133,45.25841,57.53225475234545,65.08451889801995,48.252821499063884,0,0,0,0,0,0,0,1,0
2028,14.842825765624344,69.95749,43.399742,56.24043989416285,63.725250464575524,47.33811368135269,0,0,0,0,0,0,0,1,0
2029,19.32774248936534,70.979706,43.795418,56.74015396723418,64.25105767369016,47.532838037978344,0,0,0,0,0,0,0,1,0
2030,22.074162325572072,71.85433,45.589924,57.76882428140485,65.33344117285557,48.41596975764514,0,0,0,0,0,0,0,1,0
2031,19.398179025712608,71.91086,45.92803,57.92701559131008,65.49989262109322,48.58236214263002,0,0,0,0,0,0,0,1,0
2032,17.2611473748748,71.28299,44.4942,57.12844714305324,64.65962601726477,47.87673020068619,0,0,0,0,0,0,0,1,0
2033,21.35761138428792,73.385605,46.187744,58.51949895158174,66.12331317076189,48.71017540791949,0,0,0,0,0,0,0,1,0
2034,18.883951760424075,72.68863,45.934673,58.18567976925727,65.77206324192127,48.585631367705744,0,0,0,0,0,0,0,1,0
2035,34.520492177599664,70.30471,46.059975,57.45299429715453,65.00111976843182,48.647296344439006,0,0,0,0,0,0,0,1,0
2036,36.879507895931305,71.032005,47.489075,58.28232524581425,65.87375517144739,49.35060050757684,0,0,0,0,0,0,0,1,0
2037,28.915766313285825,72.37569,45.85557,58.050049888405795,65.62935129329685,48.54670234299321,0,0,0,0,0,0,0,1,0
2038,35.518832031801935,69.235306,45.693195,56.94968323240593,64.4715277466474,48.4667926001554,0,0,0,0,0,0,0,1,0
2039,23.639265394532828,71.65663,44.571655,57.283369679645574,64.82263800949046,47.91484819379782,0,0,0,0,0,0,0,1,0
