time,min,mean,max,std,count
1950-12-31 00:00:00+00:00,68.9162,68.9162,68.9162,,1
1951-12-31 00:00:00+00:00,68.91192,68.91192,68.91192,,1
1952-12-31 00:00:00+00:00,70.654785,70.654785,70.654785,,1
1953-12-31 00:00:00+00:00,67.725784,67.725784,67.725784,,1
1954-12-31 00:00:00+00:00,69.60406,69.60406,69.60406,,1
1955-12-31 00:00:00+00:00,69.445145,69.445145,69.445145,,1
1956-12-31 00:00:00+00:00,71.07085,71.07085,71.07085,,1
1957-12-31 00:00:00+00:00,68.22516,68.22516,68.22516,,1
1958-12-31 00:00:00+00:00,67.45854,67.45854,67.45854,,1
1959-12-31 00:00:00+00:00,68.95767,68.95767,68.95767,,1
1960-12-31 00:00:00+00:00,70.27944,70.27944,70.27944,,1
1961-12-31 00:00:00+00:00,67.58175,67.58175,67.58175,,1
1962-12-31 00:00:00+00:00,69.23497,69.23497,69.23497,,1
1963-12-31 00:00:00+00:00,68.39293,68.39293,68.39293,,1
1964-12-31 00:00:00+00:00,66.80513,66.80513,66.80513,,1
1965-12-31 00:00:00+00:00,67.90502,67.90502,67.90502,,1
1966-12-31 00:00:00+00:00,69.14697,69.14697,69.14697,,1
1967-12-31 00:00:00+00:00,69.20619,69.20619,69.20619,,1
1968-12-31 00:00:00+00:00,68.874954,68.874954,68.874954,,1
1969-12-31 00:00:00+00:00,70.43309,70.43309,70.43309,,1
1970-12-31 00:00:00+00:00,68.98839,68.98839,68.98839,,1
1971-12-31 00:00:00+00:00,69.70623,69.70623,69.70623,,1
1972-12-31 00:00:00+00:00,68.39517,68.39517,68.39517,,1
1973-12-31 00:00:00+00:00,67.62317,67.62317,67.62317,,1
1974-12-31 00:00:00+00:00,67.04507,67.04507,67.04507,,1
1975-12-31 00:00:00+00:00,69.15872,69.15872,69.15872,,1
1976-12-31 00:00:00+00:00,69.53781,69.53781,69.53781,,1
1977-12-31 00:00:00+00:00,68.29119,68.29119,68.29119,,1
1978-12-31 00:00:00+00:00,69.66327,69.66327,69.66327,,1
1979-12-31 00:00:00+00:00,69.274414,69.274414,69.274414,,1
1980-12-31 00:00:00+00:00,71.32611,71.32611,71.32611,,1
1981-12-31 00:00:00+00:00,68.69389,68.69389,68.69389,,1
1982-12-31 00:00:00+00:00,68.23219,68.23219,68.23219,,1
1983-12-31 00:00:00+00:00,67.82597,67.82597,67.82597,,1
1984-12-31 00:00:00+00:00,69.53693,69.53693,69.53693,,1
1985-12-31 00:00:00+00:00,67.26529,67.26529,67.26529,,1
1986-12-31 00:00:00+00:00,71.583405,71.583405,71.583405,,1
1987-12-31 00:00:00+00:00,70.5101,70.5101,70.5101,,1
1988-12-31 00:00:00+00:00,68.85326,68.85326,68.85326,,1
1989-12-31 00:00:00+00:00,68.84836,68.84836,68.84836,,1
1990-12-31 00:00:00+00:00,71.52463,71.52463,71.52463,,1
1991-12-31 00:00:00+00:00,70.15903,70.15903,70.15903,,1
1992-12-31 00:00:00+00:00,71.31633,71.31633,71.31633,,1
1993-12-31 00:00:00+00:00,67.66305,67.66305,67.66305,,1
1994-12-31 00:00:00+00:00,69.37576,69.37576,69.37576,,1
1995-12-31 00:00:00+00:00,70.59717,70.59717,70.59717,,1
1996-12-31 00:00:00+00:00,70.08531,70.08531,70.08531,,1
1997-12-31 00:00:00+00:00,71.39906,71.39906,71.39906,,1
1998-12-31 00:00:00+00:00,70.98202,70.98202,70.98202,,1
1999-12-31 00:00:00+00:00,70.43121,70.43121,70.43121,,1
2000-12-31 00:00:00+00:00,69.605865,69.605865,69.605865,,1
2001-12-31 00:00:00+00:00,70.43446,70.43446,70.43446,,1
2002-12-31 00:00:00+00:00,69.05309,69.05309,69.05309,,1
2003-12-31 00:00:00+00:00,67.69887,67.69887,67.69887,,1
2004-12-31 00:00:00+00:00,71.56171,71.56171,71.56171,,1
2005-12-31 00:00:00+00:00,71.26486,71.26486,71.26486,,1
