,Alameda County Tmax,Kings County Tmax,Placer County Tmax,Sierra County Tmax,Alpine County Tmax,Lake County Tmax,Plumas County Tmax,Siskiyou County Tmax,Amador County Tmax,Lassen County Tmax,Riverside County Tmax,Solano County Tmax,Butte County Tmax,Los Angeles County Tmax,Sacramento County Tmax,Sonoma County Tmax,Calaveras County Tmax,Madera County Tmax,San Benito County Tmax,Stanislaus County Tmax,Colusa County Tmax,Marin County Tmax,San Bernardino County Tmax,Sutter County Tmax,Contra Costa County Tmax,Mariposa County Tmax,San Diego County Tmax,Tehama County Tmax,Del Norte County Tmax,Mendocino County Tmax,San Francisco County Tmax,Trinity County Tmax,El Dorado County Tmax,Merced County Tmax,San Joaquin County Tmax,Tulare County Tmax,Fresno County Tmax,Modoc County Tmax,San Luis Obispo County Tmax,Tuolumne County Tmax,Glenn County Tmax,Mono County Tmax,San Mateo County Tmax,Ventura County Tmax,Humboldt County Tmax,Monterey County Tmax,Santa Barbara County Tmax,Yolo County Tmax,Imperial County Tmax,Napa County Tmax,Santa Clara County Tmax,Yuba County Tmax,year
3,57.0,59.6,47.4,41.1,38.4,50.9,41.9,41.0,51.7,40.3,67.2,57.5,53.0,62.4,57.1,55.9,52.3,52.3,56.2,57.8,55.5,55.3,62.6,56.5,56.5,50.6,66.7,50.9,46.7,50.9,56.5,45.6,48.0,59.3,58.4,51.3,51.9,39.2,60.3,46.4,54.1,41.3,56.9,60.5,49.6,60.0,61.5,57.4,72.0,55.9,56.2,53.7,200001.0
4,57.7,62.6,49.4,42.5,40.9,51.1,42.3,44.6,54.2,43.0,66.6,58.9,55.0,59.7,59.8,56.5,54.9,54.6,56.4,59.8,56.9,55.6,63.2,59.4,58.1,52.5,64.1,52.4,50.8,53.2,58.1,47.5,49.9,61.1,60.6,52.7,53.6,43.6,59.7,47.5,54.9,42.5,57.5,56.9,52.9,59.9,59.4,58.4,73.4,56.7,57.2,56.0,200002.0
5,63.1,67.7,56.5,50.3,46.4,60.2,50.9,50.8,60.6,50.6,71.1,66.5,63.0,65.1,67.2,62.7,60.9,59.7,61.9,65.2,65.7,60.0,68.8,66.9,64.8,58.4,66.7,60.8,53.9,59.5,61.2,55.0,56.3,66.5,66.9,56.7,58.6,49.8,63.5,53.0,63.4,48.3,61.5,61.6,56.8,64.2,62.6,67.0,77.8,64.8,62.0,63.9,200003.0
6,68.9,77.9,64.4,58.3,54.0,66.8,59.2,60.0,68.7,60.1,83.0,73.7,71.6,73.2,75.4,67.0,69.1,68.6,70.0,73.8,74.3,63.4,81.5,76.5,71.0,66.4,75.5,68.7,60.9,64.8,64.4,63.5,64.2,75.3,75.1,66.0,67.5,60.2,71.3,60.5,71.7,57.9,65.3,68.2,63.9,71.1,68.0,75.2,89.9,71.3,68.3,72.6,200004.0
7,73.3,85.6,69.1,63.1,58.8,71.6,64.3,63.6,73.6,64.8,90.9,78.6,76.1,78.4,80.3,71.0,74.5,75.5,76.8,79.8,79.5,65.4,90.2,81.6,75.6,73.2,80.9,73.5,64.6,67.6,66.2,66.7,68.6,81.7,80.4,73.2,74.9,63.9,78.1,66.2,76.4,65.3,67.8,74.0,66.1,77.2,73.6,80.8,98.0,76.3,73.6,77.4,200005.0
8,80.9,94.2,82.0,76.5,71.0,84.7,77.8,78.2,86.0,79.0,97.3,87.1,89.3,85.4,90.7,76.9,87.0,86.0,85.4,90.1,91.2,69.7,97.7,93.0,83.5,84.8,87.3,87.7,75.5,79.4,68.7,83.2,81.4,91.9,90.4,82.9,84.4,78.2,84.3,78.2,89.2,75.6,72.0,80.2,77.8,83.2,78.8,90.9,103.6,85.4,81.0,90.3,200006.0
9,79.2,94.0,82.6,78.3,73.4,85.2,79.4,79.7,86.6,81.9,100.6,85.6,88.4,87.6,89.7,77.5,87.4,86.7,85.0,89.3,90.8,68.4,100.4,92.3,81.9,85.9,90.2,87.8,77.3,79.5,67.6,82.8,82.6,90.6,89.2,84.3,85.3,81.8,84.9,79.6,88.6,79.0,70.6,82.9,77.7,83.2,80.0,90.4,106.7,85.7,80.3,89.9,200007.0
10,82.6,96.8,85.0,81.1,74.5,88.2,82.1,83.5,89.1,84.1,98.9,89.1,90.9,89.3,91.8,79.9,90.1,88.9,88.1,91.1,93.5,72.0,98.5,93.8,85.5,87.9,91.2,90.4,79.8,81.8,70.6,86.5,84.9,92.8,91.6,85.9,87.1,84.2,88.1,81.6,91.5,78.0,74.0,85.4,80.9,86.2,82.8,93.3,105.2,88.6,83.4,91.6,200008.0
11,81.2,88.4,77.5,72.6,66.8,82.0,73.2,73.4,81.9,73.3,94.3,85.5,84.3,84.6,87.2,79.3,82.6,81.7,83.6,86.0,87.1,73.6,92.9,87.8,83.2,80.9,87.1,83.2,76.8,79.3,74.0,78.7,77.4,86.8,86.6,79.0,79.9,72.1,83.4,74.2,86.0,71.4,75.8,81.1,78.1,83.8,80.2,87.3,101.1,84.9,80.9,84.6,200009.0
12,70.0,77.1,64.9,59.2,53.8,69.3,60.3,60.6,68.8,59.9,78.7,73.5,71.2,71.6,74.5,69.2,69.8,69.8,70.9,73.8,74.4,65.2,76.7,75.2,71.6,67.5,73.4,70.0,63.2,68.0,65.6,65.0,64.5,74.8,74.6,66.1,67.5,59.6,71.5,61.4,72.8,57.1,66.4,68.9,66.0,71.5,69.4,75.1,85.0,72.5,69.8,71.5,200010.0
13,58.8,61.3,51.7,45.7,43.0,55.4,45.7,45.2,55.4,44.8,66.8,60.0,56.1,63.6,59.6,59.2,55.7,54.9,60.3,59.1,59.2,58.0,62.4,60.0,59.4,54.8,66.5,54.9,50.2,55.5,58.8,49.0,51.7,59.6,59.6,52.9,54.2,43.6,63.2,49.3,57.6,45.5,59.4,62.6,52.4,62.9,63.6,59.7,71.6,59.3,59.0,57.5,200011.0
14,57.9,59.3,52.4,46.3,45.2,56.1,44.8,45.6,56.6,44.7,68.4,58.0,56.2,64.8,57.6,58.8,57.3,56.2,61.5,57.4,59.0,58.0,63.0,58.0,57.6,56.7,68.5,56.0,50.6,54.5,58.9,47.0,53.8,58.0,56.9,54.3,55.0,44.0,65.3,51.9,58.1,47.8,59.9,64.2,51.5,64.8,65.4,58.4,72.4,58.4,59.3,56.9,200012.0
15,55.4,57.0,48.6,42.0,38.7,52.0,41.8,43.8,52.5,40.7,60.4,56.1,53.8,57.2,56.1,55.9,52.8,51.1,55.6,55.5,55.4,55.6,55.5,56.5,55.0,50.9,60.1,52.3,49.7,52.6,56.4,46.0,49.5,56.6,55.8,48.9,50.0,41.5,58.8,45.9,54.3,38.7,56.8,56.8,50.9,59.5,59.3,56.4,66.3,56.0,55.5,54.3,200101.0
16,56.4,58.6,47.3,39.9,36.4,51.2,40.4,42.8,51.1,40.5,62.0,58.6,54.0,55.8,58.1,56.4,52.0,50.0,54.5,57.2,56.6,55.8,57.9,58.3,57.2,48.3,60.5,51.4,49.7,52.1,56.8,45.7,47.1,58.4,58.5,48.2,49.4,40.2,56.8,43.0,54.9,36.2,56.6,54.2,51.4,57.8,57.2,57.8,69.2,56.8,55.4,54.7,200102.0
17,65.7,70.7,59.8,54.2,50.9,64.4,54.5,54.4,63.4,54.1,72.6,69.5,66.7,65.9,69.9,65.0,63.8,62.3,64.3,68.1,69.8,62.6,71.0,70.9,67.7,61.4,67.1,65.0,56.4,62.5,62.4,58.9,59.6,69.1,69.6,59.1,61.1,52.7,65.1,56.4,67.5,51.1,63.1,62.4,59.6,66.0,62.7,70.1,79.9,67.6,64.1,67.7,200103.0
18,63.8,71.7,57.6,51.8,47.3,61.6,52.1,53.0,61.6,52.7,75.8,68.8,65.7,66.1,69.7,63.2,62.0,61.3,63.8,68.3,69.8,59.3,73.7,71.3,65.9,59.3,68.2,63.1,55.4,59.2,59.5,57.0,56.9,69.9,69.8,59.0,60.7,52.4,64.8,53.4,66.9,50.9,60.0,61.7,58.7,65.0,62.0,70.1,83.6,66.8,62.7,66.5,200104.0
19,81.5,92.7,79.3,73.2,67.0,82.7,74.5,73.8,84.4,74.9,93.2,87.7,86.6,81.2,90.2,78.9,85.0,83.7,84.1,88.0,89.9,73.5,93.1,91.7,84.6,82.2,81.9,84.8,70.6,77.9,71.1,78.5,78.8,89.6,89.8,79.8,82.2,73.5,83.3,75.0,87.4,70.3,74.0,76.0,74.5,83.0,75.2,90.4,100.9,85.8,80.0,88.2,200105.0
20,82.6,94.7,80.2,74.4,69.0,82.2,75.2,73.3,85.8,76.4,98.1,88.6,86.9,85.1,90.8,79.9,86.7,86.2,87.3,90.5,90.2,72.8,97.7,92.6,85.3,84.6,87.6,84.7,71.5,75.6,71.8,77.7,79.7,92.0,90.8,83.0,85.2,74.6,86.1,77.3,87.2,74.7,74.2,80.3,73.2,85.5,79.7,91.2,105.3,87.1,82.5,88.6,200106.0
21,81.1,96.0,84.6,80.2,73.4,87.8,81.6,82.1,88.6,83.5,98.8,87.2,91.1,86.0,91.3,78.8,89.5,87.0,85.9,90.9,93.0,70.1,98.4,93.7,83.8,86.4,88.6,90.6,78.8,82.1,69.2,85.9,84.1,91.5,91.1,84.7,86.1,83.0,85.2,80.0,91.3,76.8,72.0,81.4,79.6,83.6,80.3,92.5,106.2,87.1,81.6,91.9,200107.0
22,82.7,96.9,87.7,84.1,78.7,89.4,84.8,85.0,90.8,86.9,101.1,89.6,92.7,89.8,93.4,81.4,91.5,89.8,88.4,92.1,94.2,72.5,101.3,95.4,85.8,89.9,91.7,92.1,79.9,83.2,70.8,87.4,87.6,93.1,92.7,87.6,88.6,86.6,87.8,84.1,92.9,82.3,73.4,84.9,80.5,86.1,81.8,94.6,106.3,89.2,82.9,93.7,200108.0
