,Alameda County, California, Maximum Temperature,Kings County, California, Maximum Temperature,Placer County, California, Maximum Temperature,Sierra County, California, Maximum Temperature,Alpine County, California, Maximum Temperature,Lake County, California, Maximum Temperature,Plumas County, California, Maximum Temperature,Siskiyou County, California, Maximum Temperature,Amador County, California, Maximum Temperature,Lassen County, California, Maximum Temperature,Riverside County, California, Maximum Temperature,Solano County, California, Maximum Temperature,Butte County, California, Maximum Temperature,Los Angeles County, California, Maximum Temperature,Sacramento County, California, Maximum Temperature,Sonoma County, California, Maximum Temperature,Calaveras County, California, Maximum Temperature,Madera County, California, Maximum Temperature,San Benito County, California, Maximum Temperature,Stanislaus County, California, Maximum Temperature,Colusa County, California, Maximum Temperature,Marin County, California, Maximum Temperature,San Bernardino County, California, Maximum Temperature,Sutter County, California, Maximum Temperature,Contra Costa County, California, Maximum Temperature,Mariposa County, California, Maximum Temperature,San Diego County, California, Maximum Temperature,Tehama County, California, Maximum Temperature,Del Norte County, California, Maximum Temperature,Mendocino County, California, Maximum Temperature,San Francisco County, California, Maximum Temperature,Trinity County, California, Maximum Temperature,El Dorado County, California, Maximum Temperature,Merced County, California, Maximum Temperature,San Joaquin County, California, Maximum Temperature,Tulare County, California, Maximum Temperature,Fresno County, California, Maximum Temperature,Modoc County, California, Maximum Temperature,San Luis Obispo County, California, Maximum Temperature,Tuolumne County, California, Maximum Temperature,Glenn County, California, Maximum Temperature,Mono County, California, Maximum Temperature,San Mateo County, California, Maximum Temperature,Ventura County, California, Maximum Temperature,Humboldt County, California, Maximum Temperature,Monterey County, California, Maximum Temperature,Santa Barbara County, California, Maximum Temperature,Yolo County, California, Maximum Temperature,Imperial County, California, Maximum Temperature,Napa County, California, Maximum Temperature,Santa Clara County, California, Maximum Temperature,Yuba County, California, Maximum Temperature
0,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,,Units: Degrees Fahrenheit,,
1,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,,Missing: -99,,
2,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,,Date,Value,
3,200001,57.0,,200001,59.6,,200001,47.4,,200001,41.1,,200001,38.4,,200001,50.9,,200001,41.9,,200001,41.0,,200001,51.7,,200001,40.3,,200001,67.2,,200001,57.5,,200001,53.0,,200001,62.4,,200001,57.1,,200001,55.9,,200001,52.3,,200001,52.3,,200001,56.2,,200001,57.8,,200001,55.5,,200001,55.3,,200001,62.6,,200001,56.5,,200001,56.5,,200001,50.6,,200001,66.7,,200001,50.9,,200001,46.7,,200001,50.9,,200001,56.5,,200001,45.6,,200001,48.0,,200001,59.3,,200001,58.4,,200001,51.3,,200001,51.9,,200001,39.2,,200001,60.3,,200001,46.4,,200001,54.1,,200001,41.3,,200001,56.9,,200001,60.5,,200001,49.6,,200001,60.0,,200001,61.5,,200001,57.4,,200001,72.0,,200001,55.9,,200001,56.2,,200001,53.7,
4,200002,57.7,,200002,62.6,,200002,49.4,,200002,42.5,,200002,40.9,,200002,51.1,,200002,42.3,,200002,44.6,,200002,54.2,,200002,43.0,,200002,66.6,,200002,58.9,,200002,55.0,,200002,59.7,,200002,59.8,,200002,56.5,,200002,54.9,,200002,54.6,,200002,56.4,,200002,59.8,,200002,56.9,,200002,55.6,,200002,63.2,,200002,59.4,,200002,58.1,,200002,52.5,,200002,64.1,,200002,52.4,,200002,50.8,,200002,53.2,,200002,58.1,,200002,47.5,,200002,49.9,,200002,61.1,,200002,60.6,,200002,52.7,,200002,53.6,,200002,43.6,,200002,59.7,,200002,47.5,,200002,54.9,,200002,42.5,,200002,57.5,,200002,56.9,,200002,52.9,,200002,59.9,,200002,59.4,,200002,58.4,,200002,73.4,,200002,56.7,,200002,57.2,,200002,56.0,
5,200003,63.1,,200003,67.7,,200003,56.5,,200003,50.3,,200003,46.4,,200003,60.2,,200003,50.9,,200003,50.8,,200003,60.6,,200003,50.6,,200003,71.1,,200003,66.5,,200003,63.0,,200003,65.1,,200003,67.2,,200003,62.7,,200003,60.9,,200003,59.7,,200003,61.9,,200003,65.2,,200003,65.7,,200003,60.0,,200003,68.8,,200003,66.9,,200003,64.8,,200003,58.4,,200003,66.7,,200003,60.8,,200003,53.9,,200003,59.5,,200003,61.2,,200003,55.0,,200003,56.3,,200003,66.5,,200003,66.9,,200003,56.7,,200003,58.6,,200003,49.8,,200003,63.5,,200003,53.0,,200003,63.4,,200003,48.3,,200003,61.5,,200003,61.6,,200003,56.8,,200003,64.2,,200003,62.6,,200003,67.0,,200003,77.8,,200003,64.8,,200003,62.0,,200003,63.9,
6,200004,68.9,,200004,77.9,,200004,64.4,,200004,58.3,,200004,54.0,,200004,66.8,,200004,59.2,,200004,60.0,,200004,68.7,,200004,60.1,,200004,83.0,,200004,73.7,,200004,71.6,,200004,73.2,,200004,75.4,,200004,67.0,,200004,69.1,,200004,68.6,,200004,70.0,,200004,73.8,,200004,74.3,,200004,63.4,,200004,81.5,,200004,76.5,,200004,71.0,,200004,66.4,,200004,75.5,,200004,68.7,,200004,60.9,,200004,64.8,,200004,64.4,,200004,63.5,,200004,64.2,,200004,75.3,,200004,75.1,,200004,66.0,,200004,67.5,,200004,60.2,,200004,71.3,,200004,60.5,,200004,71.7,,200004,57.9,,200004,65.3,,200004,68.2,,200004,63.9,,200004,71.1,,200004,68.0,,200004,75.2,,200004,89.9,,200004,71.3,,200004,68.3,,200004,72.6,
7,200005,73.3,,200005,85.6,,200005,69.1,,200005,63.1,,200005,58.8,,200005,71.6,,200005,64.3,,200005,63.6,,200005,73.6,,200005,64.8,,200005,90.9,,200005,78.6,,200005,76.1,,200005,78.4,,200005,80.3,,200005,71.0,,200005,74.5,,200005,75.5,,200005,76.8,,200005,79.8,,200005,79.5,,200005,65.4,,200005,90.2,,200005,81.6,,200005,75.6,,200005,73.2,,200005,80.9,,200005,73.5,,200005,64.6,,200005,67.6,,200005,66.2,,200005,66.7,,200005,68.6,,200005,81.7,,200005,80.4,,200005,73.2,,200005,74.9,,200005,63.9,,200005,78.1,,200005,66.2,,200005,76.4,,200005,65.3,,200005,67.8,,200005,74.0,,200005,66.1,,200005,77.2,,200005,73.6,,200005,80.8,,200005,98.0,,200005,76.3,,200005,73.6,,200005,77.4,
8,200006,80.9,,200006,94.2,,200006,82.0,,200006,76.5,,200006,71.0,,200006,84.7,,200006,77.8,,200006,78.2,,200006,86.0,,200006,79.0,,200006,97.3,,200006,87.1,,200006,89.3,,200006,85.4,,200006,90.7,,200006,76.9,,200006,87.0,,200006,86.0,,200006,85.4,,200006,90.1,,200006,91.2,,200006,69.7,,200006,97.7,,200006,93.0,,200006,83.5,,200006,84.8,,200006,87.3,,200006,87.7,,200006,75.5,,200006,79.4,,200006,68.7,,200006,83.2,,200006,81.4,,200006,91.9,,200006,90.4,,200006,82.9,,200006,84.4,,200006,78.2,,200006,84.3,,200006,78.2,,200006,89.2,,200006,75.6,,200006,72.0,,200006,80.2,,200006,77.8,,200006,83.2,,200006,78.8,,200006,90.9,,200006,103.6,,200006,85.4,,200006,81.0,,200006,90.3,
9,200007,79.2,,200007,94.0,,200007,82.6,,200007,78.3,,200007,73.4,,200007,85.2,,200007,79.4,,200007,79.7,,200007,86.6,,200007,81.9,,200007,100.6,,200007,85.6,,200007,88.4,,200007,87.6,,200007,89.7,,200007,77.5,,200007,87.4,,200007,86.7,,200007,85.0,,200007,89.3,,200007,90.8,,200007,68.4,,200007,100.4,,200007,92.3,,200007,81.9,,200007,85.9,,200007,90.2,,200007,87.8,,200007,77.3,,200007,79.5,,200007,67.6,,200007,82.8,,200007,82.6,,200007,90.6,,200007,89.2,,200007,84.3,,200007,85.3,,200007,81.8,,200007,84.9,,200007,79.6,,200007,88.6,,200007,79.0,,200007,70.6,,200007,82.9,,200007,77.7,,200007,83.2,,200007,80.0,,200007,90.4,,200007,106.7,,200007,85.7,,200007,80.3,,200007,89.9,
