,Alameda County Tmin,Kings County Tmin,Placer County Tmin,Sierra County Tmin,Alpine County Tmin,Lake County Tmin,Plumas County Tmin,Siskiyou County Tmin,Amador County Tmin,Lassen County Tmin,Riverside County Tmin,Solano County Tmin,Butte County Tmin,Los Angeles County Tmin,Sacramento County Tmin,Sonoma County Tmin,Calaveras County Tmin,Madera County Tmin,San Benito County Tmin,Stanislaus County Tmin,Colusa County Tmin,Marin County Tmin,San Bernardino County Tmin,Sutter County Tmin,Contra Costa County Tmin,Mariposa County Tmin,San Diego County Tmin,Tehama County Tmin,Del Norte County Tmin,Mendocino County Tmin,San Francisco County Tmin,Trinity County Tmin,El Dorado County Tmin,Merced County Tmin,San Joaquin County Tmin,Tulare County Tmin,Fresno County Tmin,Modoc County Tmin,San Luis Obispo County Tmin,Tuolumne County Tmin,Glenn County Tmin,Mono County Tmin,San Mateo County Tmin,Ventura County Tmin,Humboldt County Tmin,Monterey County Tmin,Santa Barbara County Tmin,Yolo County Tmin,Imperial County Tmin,Napa County Tmin,Santa Clara County Tmin,Yuba County Tmin,year
3,42.8,40.4,32.9,26.8,25.0,37.2,26.6,28.3,36.9,23.5,43.3,41.5,38.0,42.2,40.8,42.0,37.5,34.6,38.7,40.9,38.0,44.6,41.1,40.7,42.3,33.8,41.8,36.3,35.0,39.1,45.6,33.5,33.8,41.4,41.3,32.2,34.0,23.9,39.9,30.3,37.6,20.6,44.1,39.4,37.7,39.9,41.4,40.1,46.4,39.6,41.5,39.1,200001.0
4,44.3,43.9,34.8,27.8,24.5,40.0,29.3,30.9,38.1,28.0,44.1,44.1,40.2,41.5,44.5,44.2,39.0,35.7,40.9,43.5,41.4,46.4,42.1,44.7,44.4,33.4,43.0,38.9,38.0,41.4,47.1,35.0,35.0,44.5,44.5,33.4,34.7,28.3,41.7,29.8,41.2,20.5,45.7,39.6,40.2,42.2,42.3,43.3,48.1,42.4,42.4,41.9,200002.0
5,43.8,44.2,34.6,27.4,24.0,38.3,28.2,28.9,38.4,27.0,46.5,44.3,40.4,42.6,44.3,41.5,38.7,36.1,39.3,43.1,42.2,44.2,45.1,44.6,44.6,35.0,42.0,39.3,33.7,37.6,46.1,32.6,34.6,44.1,44.1,34.3,35.4,26.3,40.0,29.8,40.4,21.5,43.3,38.4,36.9,39.3,40.6,43.7,50.6,42.0,41.2,42.0,200003.0
6,47.1,49.6,39.5,32.6,30.1,41.9,32.8,35.0,43.2,33.2,54.0,48.1,45.4,48.0,48.3,44.5,43.7,41.0,43.9,47.6,45.9,46.8,53.6,49.0,47.9,40.0,47.3,44.4,39.5,41.5,48.9,37.4,39.7,48.5,47.8,40.1,41.1,32.8,44.1,35.6,45.3,28.9,46.1,42.4,41.6,43.0,44.5,47.8,58.8,45.2,45.2,47.0,200004.0
7,51.0,55.9,44.9,37.9,36.5,46.8,37.9,38.4,47.9,37.4,61.2,52.9,50.7,53.6,53.4,47.7,48.1,47.3,49.0,52.6,52.1,48.9,62.0,55.0,51.8,46.0,53.2,48.8,42.8,45.3,50.7,41.4,44.8,53.9,53.0,46.7,47.5,37.7,48.3,41.2,50.6,36.6,48.8,48.2,44.7,47.2,48.0,53.4,66.6,49.8,48.9,52.2,200005.0
8,55.7,63.0,52.9,45.4,43.6,54.4,45.3,47.1,56.2,45.4,67.9,56.9,58.6,59.0,58.7,51.3,56.1,55.0,55.1,58.9,59.1,51.0,69.3,60.3,56.5,53.9,57.2,58.7,47.9,50.6,52.8,48.9,53.5,60.6,57.8,54.9,54.6,44.6,54.1,48.8,58.4,42.9,52.0,53.0,48.5,51.6,53.0,58.6,73.9,54.8,54.6,59.4,200006.0
9,55.8,61.5,52.4,46.2,45.8,55.2,45.9,49.6,55.6,46.1,70.3,55.4,57.2,60.4,57.1,51.1,55.8,54.6,55.3,58.0,57.8,50.4,72.3,58.3,55.3,53.6,59.7,57.4,52.1,52.1,52.6,51.3,53.5,59.4,57.0,55.0,54.3,47.1,53.3,49.8,57.4,45.4,51.7,53.4,53.0,51.4,53.5,56.9,77.3,54.0,54.8,57.7,200007.0
10,57.2,64.5,55.4,48.5,48.0,57.0,48.0,50.6,58.4,47.9,73.1,57.1,59.4,63.2,59.2,52.4,58.8,57.2,57.2,59.8,59.1,52.1,73.2,59.5,57.5,56.3,62.7,59.0,51.1,52.4,53.7,51.8,56.2,61.5,58.9,57.2,57.2,47.6,55.4,52.1,58.7,46.4,52.7,57.2,52.4,52.7,55.2,58.5,79.8,55.7,56.6,60.0,200008.0
11,56.5,59.1,49.5,42.4,41.4,53.1,42.1,44.9,53.3,40.1,65.2,56.3,55.2,57.5,56.9,52.3,53.3,51.5,53.6,57.0,55.2,53.6,64.6,56.8,56.9,50.4,57.9,55.0,50.2,51.4,55.1,48.6,50.6,57.8,57.1,50.7,51.0,39.6,53.1,46.4,54.9,38.7,53.5,52.9,51.2,51.7,53.4,56.6,71.7,54.6,54.9,56.0,200009.0
12,50.6,51.0,41.9,35.6,33.6,46.3,35.4,37.3,45.7,33.0,56.0,49.7,47.3,49.9,49.9,48.2,46.1,43.6,47.0,49.5,47.6,49.4,54.2,49.8,50.1,42.0,50.9,46.4,43.2,45.5,51.8,41.1,42.6,50.4,50.1,42.6,43.3,32.2,46.9,38.4,47.2,30.2,50.2,46.6,45.4,47.0,48.5,49.4,60.4,48.2,49.4,48.1,200010.0
